timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-26T21:31:15.543597,98,move_down,326.0,326.5,dy=34.5px
2026-02-26T21:31:31.298614,357,move_right,335.0,335.0,dx=102.0px
2026-02-26T21:31:32.707102,366,move_up,328.0,170.0,dy=-165.0px
2026-02-26T21:31:42.038431,568,move_down,315.0,197.0,dy=36.0px
2026-02-26T21:31:42.692231,569,smile,314.5,192.5,
2026-02-26T21:31:52.391245,673,move_left,237.5,196.0,dx=-77.0px
2026-02-26T21:31:54.950820,688,move_left,213.5,177.0,dx=-31.0px
2026-02-26T21:31:57.422961,694,move_right,353.5,259.0,dx=140.0px
2026-02-26T21:31:57.423313,694,move_down,353.5,259.0,dy=82.0px
2026-02-26T21:32:06.984684,709,move_left,111.0,273.0,dx=-177.5px
2026-02-26T21:32:24.814964,858,move_right,209.0,250.0,dx=98.0px
2026-02-26T21:32:26.140756,860,blink,222.0,250.0,
2026-02-26T21:32:27.996605,863,move_down,259.5,282.0,dy=34.0px
2026-02-26T21:32:30.510505,867,move_left,127.5,251.5,dx=-129.0px
2026-02-26T21:32:36.148872,899,move_right,163.0,237.0,dx=42.0px
2026-02-26T21:32:42.901840,911,move_left,109.5,241.0,dx=-108.5px
2026-02-26T21:32:49.479300,1096,move_right,254.0,348.5,dx=144.5px
2026-02-26T21:32:49.479903,1096,move_down,254.0,348.5,dy=107.5px
2026-02-26T21:32:51.863985,1129,move_up,280.5,282.5,dy=-60.5px
2026-02-26T21:32:59.136968,1169,move_right,356.5,276.0,dx=55.0px
2026-02-26T21:33:03.873155,1190,move_up,367.5,237.0,dy=-35.5px
