timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-02-27T09:52:48.569473,147,move_left,276.0,208.0,dx=-145.5px
2026-02-27T09:52:48.569756,147,move_down,276.0,208.0,dy=136.0px
2026-02-27T09:52:51.414693,155,move_left,227.5,274.5,dx=-48.5px
2026-02-27T09:52:51.415161,155,move_down,227.5,274.5,dy=66.5px
2026-02-27T09:52:52.060061,157,move_right,256.0,261.5,dx=28.5px
2026-02-27T09:52:53.593085,162,smile,306.0,282.0,
2026-02-27T09:52:53.827258,162,smile,302.5,282.0,
2026-02-27T09:52:55.012283,166,move_left,211.5,282.5,dx=-82.5px
2026-02-27T09:52:57.068138,172,smile,208.5,283.0,
2026-02-27T09:52:57.364756,173,move_right,286.0,283.5,dx=77.5px
2026-02-27T09:52:59.470324,180,move_left,220.5,289.5,dx=-70.5px
2026-02-27T09:53:01.548920,187,move_right,291.0,283.5,dx=79.0px
2026-02-27T09:53:10.980511,345,move_up,285.0,104.5,dy=-179.0px
2026-02-27T09:53:23.717861,367,move_right,580.0,111.5,dx=287.5px
