timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T17:00:12.535627,1840,move_left,234.0,298.5,dx=-31.0px
2026-06-12T17:00:12.535874,1840,move_down,234.0,298.5,dy=59.0px
2026-06-12T17:00:15.942168,1880,move_left,217.5,292.5,dx=-54.5px
2026-06-12T17:02:35.807071,5928,move_right,319.0,355.5,dx=139.5px
2026-06-12T17:02:35.807196,5928,move_down,319.0,355.5,dy=66.5px
2026-06-12T17:02:43.790132,5968,move_left,286.5,357.0,dx=-32.0px
2026-06-12T17:02:52.928900,6216,move_right,311.5,356.5,dx=97.0px
2026-06-12T17:02:59.315497,6260,move_right,426.0,352.5,dx=126.0px
2026-06-12T17:03:10.868582,6596,move_left,223.0,330.5,dx=-203.0px
2026-06-12T17:03:10.868843,6596,move_up,223.0,330.5,dy=-22.0px
2026-06-12T17:03:11.684646,6600,move_right,268.0,331.0,dx=45.0px
2026-06-12T17:03:13.377449,6608,move_right,343.5,328.5,dx=32.5px
2026-06-12T17:03:23.233714,6648,move_left,216.5,330.0,dx=-127.5px
